| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0327_2127419_to_2131323 | 89 | 3.90 | 0.337 | 0.292 | 0.157 | 0.180 |
| STT_GR_0022_0222_1637200_to_1642400 | 87 | 5.20 | 0.271 | 0.200 | 0.306 | 0.306 |
| STT_GR_0022_0090_784900_to_789000 | 86 | 4.10 | 0.381 | 0.405 | 0.202 | 0.202 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0005_39600_to_45600 | 91 | 6.00 | 0.213 | 0.124 | 0.056 | 0.045 |
| STT_GR_0022_0012_87800_to_94300 | 92 | 6.50 | 0.178 | 0.133 | 0.144 | 0.144 |
| STT_GR_0022_0095_837800_to_843200 | 91 | 5.40 | 0.202 | 0.191 | 0.146 | 0.146 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0023_0099_544600_to_545688 | 27 | 1.09 | 0.080 | 0.200 | 0.200 | 0.200 |
| STT_GR_0023_0076_501144_to_502775 | 30 | 1.63 | 0.200 | 0.033 | 0.067 | 0.067 |
| STT_GR_0023_0163_1161000_to_1162700 | 22 | 1.70 | 0.200 | 0.400 | 0.250 | 0.250 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0024_0189_1190960_to_1192560 | 35 | 1.60 | 0.303 | 0.394 | 0.515 | 0.515 |
| STT_GR_0024_0085_541688_to_543064 | 35 | 1.38 | 0.091 | 0.515 | 0.394 | 0.394 |
| STT_GR_0024_0053_336500_to_338036 | 36 | 1.54 | 0.583 | 0.306 | 0.111 | 0.111 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0025_0097_478680_to_480344 | 36 | 1.66 | 0.257 | 0.086 | 0.086 | 0.114 |
| STT_GR_0025_0041_206384_to_208112 | 36 | 1.73 | 0.176 | 0.382 | 0.235 | 0.235 |
| STT_GR_0025_0043_210192_to_212048 | 39 | 1.86 | 0.282 | 0.179 | 0.128 | 0.128 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0026_0009_101000_to_107900 | 123 | 6.90 | 0.174 | 0.116 | 0.083 | 0.074 |
| STT_GR_0026_0042_434268_to_439260 | 123 | 4.99 | 0.372 | 0.322 | 0.256 | 0.223 |
| STT_GR_0026_0008_92500_to_100700 | 122 | 8.20 | 0.238 | 0.098 | 0.098 | 0.098 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0026_0015_180100_to_189900 | 154 | 9.80 | 0.275 | 0.229 | 0.157 | 0.118 |
| STT_GR_0026_0073_707200_to_716100 | 157 | 8.90 | 0.245 | 0.181 | 0.084 | 0.090 |
| STT_GR_0026_0027_337800_to_347600 | 152 | 9.80 | 0.287 | 0.220 | 0.180 | 0.133 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0026_0086_761832_to_763272 | 31 | 1.44 | 0.333 | 0.300 | 0.167 | 0.167 |
| STT_GR_0026_0076_741416_to_742824 | 31 | 1.41 | 0.103 | 0.034 | 0.034 | 0.069 |
| STT_GR_0026_0077_744072_to_745672 | 31 | 1.60 | 0.207 | 0.207 | 0.069 | 0.103 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0026_0088_765256_to_767528 | 40 | 2.27 | 0.079 | 0.000 | 0.132 | 0.079 |
| STT_GR_0026_0046_445436_to_446652 | 32 | 1.22 | 0.300 | 0.300 | 0.133 | 0.133 |
| STT_GR_0026_0084_758952_to_760424 | 40 | 1.47 | 0.079 | 0.053 | 0.000 | 0.000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0026_0079_747496_to_749800 | 45 | 2.30 | 0.091 | 0.136 | 0.068 | 0.045 |
| STT_GR_0026_0035_420124_to_422012 | 42 | 1.89 | 0.275 | 0.425 | 0.175 | 0.200 |
| STT_GR_0026_0062_600300_to_604300 | 45 | 4.00 | 0.233 | 0.093 | 0.163 | 0.163 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0026_0069_662900_to_666300 | 54 | 3.40 | 0.308 | 0.096 | 0.077 | 0.077 |
| STT_GR_0026_0102_850800_to_855300 | 52 | 4.50 | 0.288 | 0.231 | 0.115 | 0.115 |
| STT_GR_0026_0103_855900_to_858500 | 58 | 2.60 | 0.429 | 0.321 | 0.339 | 0.339 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0026_0101_843000_to_847500 | 72 | 4.50 | 0.243 | 0.171 | 0.286 | 0.200 |
| STT_GR_0026_0056_537100_to_541300 | 71 | 4.20 | 0.239 | 0.113 | 0.127 | 0.127 |
| STT_GR_0026_0072_700900_to_704500 | 75 | 3.60 | 0.351 | 0.284 | 0.135 | 0.135 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0015_180400_to_186500 | 106 | 6.10 | 0.240 | 0.183 | 0.067 | 0.067 |
| STT_GR_0027_0019_220300_to_225700 | 102 | 5.40 | 0.360 | 0.360 | 0.220 | 0.200 |
| STT_GR_0027_0059_591800_to_598500 | 103 | 6.70 | 0.178 | 0.089 | 0.069 | 0.059 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0008_103000_to_108700 | 116 | 5.70 | 0.351 | 0.307 | 0.202 | 0.202 |
| STT_GR_0027_0037_390700_to_396800 | 113 | 6.10 | 0.144 | 0.243 | 0.117 | 0.117 |
| STT_GR_0027_0049_519900_to_525200 | 115 | 5.30 | 0.239 | 0.239 | 0.142 | 0.142 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0014_170300_to_176400 | 123 | 6.10 | 0.281 | 0.372 | 0.240 | 0.240 |
| STT_GR_0027_0024_259200_to_266800 | 122 | 7.60 | 0.192 | 0.250 | 0.225 | 0.200 |
| STT_GR_0027_0046_488300_to_496600 | 127 | 8.30 | 0.288 | 0.240 | 0.208 | 0.208 |
